,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
26556,USA,United States of America,PPL Glendon LFGTE Plant,USA0057183,3.2,40.6678,-75.2322,Waste,,,,2011.0,EPP Renewable Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,23.646,22.718,20.015,18.734,19.224,
26557,USA,United States of America,PPL Renewable Energy Merck Solar,USA0056889,1.7,40.7274,-74.3783,Solar,,,,2009.0,EPP Renewable Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58619,2017.0,1.563,0.671,1.591,1.659,1.458,
26558,USA,United States of America,PPS Power Plant No 1,USA0056556,120.0,37.0339,-88.6159,Gas,,,,2010.0,Paducah Power System,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,6.333,6.0440000000000005,12.286,12.51852,36.679,
26559,USA,United States of America,PRC-Desoto Intl/PPG Aerospace,USA0058085,1.5,34.9897,-118.1506,Oil,,,,1999.6666666666667,PRC-Desoto Intl Corp./PPG,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.0,0.0,0.0,0.0,0.0,
26560,USA,United States of America,PRSI FCC Generator,USA0058069,4.7,29.7233,-95.2103,Petcoke,,,,1979.0,Pasadena Refining System Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.0,0.0,0.0,0.0,0.02619,
26561,USA,United States of America,PS ST-8 Engine No 1,USA0056421,2.0,39.9614,-83.0491,Oil,,,,2008.0,City of Columbus - (OH),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.0049,0.00588,0.0049,0.00392,0.00196,
26562,USA,United States of America,PSEG Burlington Generating Station,USA0002399,242.0,40.0766,-74.8792,Gas,Oil,,,2000.0,PSEG Fossil LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30872,2017.0,0.0,0.0,0.0,0.0,15.044,
26563,USA,United States of America,PSEG Essex Generating Station,USA0002401,93.6,40.7372,-74.1206,Gas,Oil,,,1990.0,PSEG Fossil LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30874,2017.0,0.0,73.32600000000001,25.589,20.662000000000003,5.925000000000001,
26564,USA,United States of America,PSEG Hackettstown,USA0057204,2.2,40.8606,-74.8229,Solar,,,,2009.0,PSEG Solar Hackettstown LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,2.656,2.51,2.471,2.628,2.408,
26565,USA,United States of America,PSEG Hope Creek Generating Station,USA0006118,1290.7,39.4666,-75.5377,Nuclear,,,,1987.0,PSEG Nuclear LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30878,2017.0,9070.386,10373.816,9409.357,9603.443,10627.333,
26566,USA,United States of America,PSEG Kearny Generating Station,USA0002404,605.0,40.7373,-74.0965,Gas,Oil,,,2007.6,PSEG Fossil LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30879,2017.0,0.0,581.4999959999999,720.142997,557.585999,238.891998,
26567,USA,United States of America,PSEG Linden Generating Station,USA0002406,1739.9999999999998,40.6217,-74.2072,Gas,Oil,,,2004.1221839080465,PSEG Fossil LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30882,2017.0,6105.231954,5540.305907,7598.443998000001,6414.47604,4909.400037,
26568,USA,United States of America,PSEG Salem Generating Station,USA0002410,2381.8,39.4625,-75.5358,Nuclear,Oil,,,1978.8596019816944,PSEG Nuclear LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30889,2017.0,19208.222,16283.135,18593.629,15696.636000000002,17975.166,
26569,USA,United States of America,PSEG Sewaren Generating Station,USA0002411,452.2,40.5558,-74.2469,Gas,Oil,,,1949.3217602830607,PSEG Fossil LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30890,2017.0,0.0,0.0,0.0,0.0,16.41,
26570,USA,United States of America,PVN Milliken  LLC,USA0060790,3.0,34.0384,-117.5658,Solar,,,,2017.0,PVN Milliken  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,,2.4,1.3377830039074448
26571,USA,United States of America,PWD Northeast WPCP Biogas Cogen Plant,USA0058326,5.6,39.9886,-75.0833,Biomass,Gas,,,2014.0,Philadelphia Water Department,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.5469999999999999,38.529,30.812,33.454,33.679,
26572,USA,United States of America,PYCO Industries  Inc. Wind Farm,USA0061848,10.0,33.5532,-101.7924,Wind,,,,2008.0,PYCO Industries  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,,10.942,1.774075558915744
26573,USA,United States of America,PaTu Wind Farm LLC,USA0057578,9.0,45.6131,-120.6169,Wind,,,,2011.0,PaTu Wind Farm LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63625,2017.0,30.948,30.295,27.535,28.853,24.519,
26574,USA,United States of America,Pacific Canyon Windfarm LLC,USA0056972,8.3,45.6542,-119.4869,Wind,,,,2009.0,Echo 1,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,20.098,19.926,17.304000000000002,17.759,16.048000000000002,
26575,USA,United States of America,Pacific Cruise Ship Terminals Berth 93,USA0057309,1.1,33.7331,-118.2772,Solar,,,,2010.0,Los Angeles Department of Water & Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,1.605,1.589,,0.0,0.306,
26576,USA,United States of America,Pacific Ethanol Stockton Cogen Plant,USA0061027,4.8,37.9418,-121.3383,Gas,,,,2017.0,Pacific Ethanol Stockton,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12520,2017.0,,,,0.0,0.0,33.818252107034155
26577,USA,United States of America,Pacific Rim Dairy Digester,USA0059447,1.0,36.0331,-119.51,Biomass,,,,2014.0,Maas Energy Works,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,5.436,6.364,5.179,264.2117327833002
